business_id,name,city,state,postal_code,latitude,longitude
1Dfx3zM-rW4n-31KeC8sJg,Taco Bell,Phoenix,AZ,85016,33.4951941,-112.0285876
kANF0dbeoW34s2vwh6Umfw,Dairy Queen,Las Vegas,NV,89146,36.1250311,-115.2256202
qJeSjOMgWB3er3UXG33ZVw,Carl's Jr,Calgary,AB,T2S 1H3,51.0084601753,-114.0687542984
5WMIvoMx3l1vn1uJ3HZB6Q,Subway,Pittsburgh,PA,15219,40.4428627,-79.996412
y-1sMhUMubrHWdIW4FaE8w,Wendy's,Madison,WI,53716,43.062872,-89.308293
eY98EH_PHGnJVaJ7t2UpoQ,Pita Pit,Las Vegas,NV,89183,36.012764,-115.136056
sRLczTc6OHuttVSanRfHaw,Wendy's,Mississauga,ON,L5K 2R8,43.5283821484,-79.6750115673
vg4ynLZ0yJ89pT4s_CEMzQ,Five Guys,Phoenix,AZ,85042,33.3786989221,-112.0310130715
ItmLljzhwhuyyvekNs4Ymg,Jersey Mike's Subs,Middleton,WI,53562,43.0914253964,-89.527287314
U1iF2RC18uBgBe01z5BMXw,Church's Chicken,Peoria,AZ,85345,33.5788804,-112.2350045
El6Bum4I-0VWJRgzbtscJQ,Jimmy John's,Wexford,PA,15090,40.6320562,-80.0585513
rtKB12BkQVb3x1e4diTIeA,Panera Bread,Chandler,AZ,85248,33.2481682645,-111.8397652668
JO5_Frcbp9J732VNn-I3Ew,Steak ’n Shake,Brunswick,OH,44212,41.2378014833,-81.8060022
_WyTVGIhZIqesE4DLrcTvA,Ron's Restaurant,Monroe,NC,28110,35.027041,-80.603617
QcUKFdAWxFq42-zE96cS-A,Pita Pit,Indian Trail,NC,28079,35.0631169,-80.633164
dusNIzdCaH6EoLl2hRy6cQ,Chipotle Mexican Grill,Las Vegas,NV,89109,36.120095,-115.171769
uNtO37bzsKCHaRUpLm4Qzw,Subway,Surprise,AZ,85374,33.6388214,-112.3997883
3KzzG6dw5aN9eIo3cGHaSA,Steak ’n Shake,Willoughby,OH,44094,41.6234487,-81.4392608
ol2r325YnfuHcq7yeO3vdg,Subway,Sun City,AZ,85351,33.60136,-112.287538
MPPlVchUxAKCS-Dy-tMGAg,Panera Bread,Richmond Hill,ON,L4C 5G2,43.8568578495,-79.4344568253
EJShgTy1lEkp48RLkMt1ag,Jack-In-the Box Drive Thru,Glendale,AZ,85301,33.5381734,-112.1769763
M9N2eaO8PkT7MHGLLA6V3Q,Panda Express,Tempe,AZ,85282,33.3831468,-111.9647254
eMSFlZRDLBUWWs93_78xdw,KFC,Mississauga,ON,L4T 2T5,43.7169205,-79.6354071
U8Uecw7AZPMuA4fkKbEd1A,Pita Pit,Mississauga,ON,L5G 1E5,43.5541339,-79.5825489
FGWc5hjTaOql-Rut_bEbVw,A&W,Montréal,QC,H3A 1K1,45.5047528,-73.5725866
z_BS6qapXMX1fA4ZLZ3jCA,Dairy Queen Brazier,Calgary,AB,T3E 6K6,51.0138272453,-114.1327861469
vlLHfWn-Gyyfnh5Lp_kJsg,Burger King,Charlotte,NC,28210,35.0933956,-80.8584428
5Novl6V4g5TV4ATFPElsYQ,Firehouse Subs,Gastonia,NC,28054,35.262106,-81.138489
Rs0-Od1CbhDIwDaPxAaVjg,Popeyes Louisiana Kitchen,Mississauga,ON,L5L 5W7,43.5243825183,-79.683263343
yYkvonvBGZB6UMnpzr6Ryw,Burger King,Las Vegas,NV,89129,36.2191204,-115.280934
6Ege_N9uJ-rtKIs1TNA8aQ,Jack in the Box,Las Vegas,NV,89122,36.0847797554,-115.0315821789
KOA3EA_eFxiRz5P2lAmM_Q,Chick-fil-A,Phoenix,AZ,85044,33.31926689,-111.9746716
sxOoqlIxmlKmC1yGvPx3Fw,KFC,Kannapolis,NC,28083,35.487394751,-80.6106573511
_EVOLAjWYEfSOO_smbBxaA,Chipotle Mexican Grill,Wexford,PA,15090,40.6230711951,-80.0544984877
-X61Cipa9OOtY7ZnDw_f4A,Subway,Glendale,AZ,85302,33.5814942,-112.15194
XuLXX5B5W1P-iNpgXmqmjQ,Subway,Goodyear,AZ,85338,33.484027,-112.363106
YTNgCm8-TlyLvkBXCGxeMg,Subway,Cleveland,OH,44111,41.4500971,-81.7694673
sDfN5qJlmvrwTfwEPBsxSg,Dairy Queen,Rantoul,IL,61866,40.3112989,-88.1428825
UXd3218Enn8Lt5csBxwC8g,Subway,Phoenix,AZ,85004,33.45243,-112.069505
FE135tFrIhxrtAkf6-A1Rw,Hardee's,Pittsburgh,PA,15209,40.4931766,-79.9755103
aBCqrJwXAHnTgO2e_l0v8w,Carl's Jr,Las Vegas,NV,89104,36.1480361,-115.1539772
32FTAxYkehRO2lozvGszkQ,Subway,Las Vegas,NV,89142,36.1438977,-115.0641604
kY8N8xtEmbsQfSLIuUJJCA,Subway,Etobicoke,ON,M9C 3S8,43.6532012,-79.5731226
KXO9aGAOWAJEmHD_d8yQ7A,Sonic Drive-In,Henderson,NV,89015,36.036526,-114.9774104
hySFMXFqyb7rNuxS8koNrQ,Taco Bell,Las Vegas,NV,89141,36.00232,-115.20777
TlwnrbGJA1jiudJBUWs1hQ,Panera Bread,North Ridgeville,OH,44039,41.385899,-81.9751
0rN_o7_IfshAHQwzMUK8nA,Chipotle Mexican Grill,Solon,OH,44139,41.3853423,-81.4406239
lqPuSiWypNCACEMhArSZ2A,Subway,Henderson,NV,89014,36.0663648969,-115.0466035394
AztVIokc5VtP4m8r6kSnWw,Subway,Las Vegas,NV,89139,36.0340897,-115.2074639
O4TYqnhpXpyrgJBkucaeaw,KFC,Sun City,AZ,85351,33.6020880774,-112.2895198281
G_1M9_yX5ThAROn1zKKpQg,Panda Express,Avondale,AZ,85323,33.4490139,-112.3079079
RAkYh4RbNSk12ghvjssewQ,Jersey Mike's Subs,Fairview Park,OH,44126,41.4417738,-81.8623573
