name,city,province,postalCode,latitude,longitude,full_name
McDonald's,Massena,NY,13662,44.9213,-74.89021,McDonald's
Wendy's,Washington Court House,OH,43160,39.53255,-83.44526,Wendy's
Frisch's Big Boy,Maysville,KY,41056,38.627359999999996,-83.79141,Frisch's Big Boy
McDonald's,Massena,NY,13662,44.95008,-74.84553000000001,McDonald's
OMG! Rotisserie,Athens,OH,45701,39.35155,-82.09728,OMG! Rotisserie
Domino's Pizza,Hamilton,OH,45011,39.4176,-84.47641,Domino's Pizza
Domino's Pizza,Englewood,OH,45322,39.869690000000006,-84.29358,Domino's Pizza
McDonald's,Saluda,SC,29138,34.00598,-81.7704,McDonald's
Wendy's,Batesburg,SC,29006,33.91335,-81.5333,Wendy's
Pizza Hut,Paragould,AR,72450,36.06107,-90.52325,Pizza Hut
Sonic,Sheridan,AR,72150,34.30687,-92.40784000000001,SONIC Drive In
Domino's Pizza,Monticello,AR,71655,33.61937,-91.80232,Domino's Pizza
McDonald's,Oklahoma City,OK,73118,35.52234,-97.5382,McDonald's
Domino's Pizza,Lexington,KY,40511,38.06753,-84.53043000000001,Domino's Pizza
Long John Silver's,Tell City,IN,47586,37.941032,-86.76211500000001,Long John Silver's
McDonald's,Louisville,KY,40208,38.21999,-85.764824,McDonald's
McDonald's,Oklahoma City,OK,73132,35.54815,-97.61717,McDonald's
Taco Bell,Leland,NC,28451,34.23389,-77.99544,Taco Bell
McDonald's,Leland,NC,28451,34.21188,-78.02454,McDonald's
QDOBA Mexican Eats,Brentwood,TN,37027,36.04222,-86.77995,Qdoba Mexican Grill
McDonald's,Leland,NC,28451,34.234477000000005,-78.000649,McDonald's
McDonald's,Hardinsburg,KY,40143,37.792640999999996,-86.492762,McDonald's
McDonald's,Wichita Falls,TX,76302,33.85371,-98.50065,McDonald's
McDonald's,South Padre Island,TX,78597,26.09105,-97.1643,McDonald's
McDonald's,Miami,OK,74354,36.888259999999995,-94.87765999999999,McDonald's
Pizza Hut,Pineville,LA,71360,31.3626,-92.41343,Pizza Hut
Sonic,Bastrop,LA,71220,32.779920000000004,-91.89477,Sonic Drive-In
